dataset,domain,temperature_unit,temperature_semantics,feature,sample_count,pearson_r,spearman_rho,mutual_information_binned,linear_r2,trend_direction
metal,simulation,K,solver case/field temperature tag,peak_time_s,200,0.9871513959475541,1.0,1.6223061414246374,0.9744678785212056,increasing
metal,simulation,K,solver case/field temperature tag,peak_time_fraction,200,0.9871498859202388,1.0,1.6223061414246374,0.9744648972723401,increasing
metal,simulation,K,solver case/field temperature tag,peak_abs,200,0.998222678296173,1.0,1.5620967304872262,0.9964485154647856,increasing
metal,simulation,K,solver case/field temperature tag,rms,200,0.9850562137456561,1.0,1.4707549822755779,0.9703357442389277,increasing
metal,simulation,K,solver case/field temperature tag,energy_mean_square,200,0.9854743806554478,1.0,1.481882225588529,0.9711597549282381,increasing
metal,simulation,K,solver case/field temperature tag,dominant_frequency_hz,200,-0.2179041053847731,-0.3112877821945549,0.8319063844462922,0.04748219914353846,decreasing
metal,simulation,K,solver case/field temperature tag,dominant_frequency_fraction,200,0.046009198384976045,-0.2585284632115803,1.0704694987811287,0.0021168463360280443,decreasing
metal,simulation,K,solver case/field temperature tag,spectral_centroid_hz,200,-0.9944436916366747,-0.9913297832445813,1.6807233981304293,0.988918255835978,decreasing
metal,simulation,K,solver case/field temperature tag,spectral_centroid_fraction,200,0.99963243198446,1.0,1.8361506925868514,0.9992649990751663,increasing
metal,simulation,K,solver case/field temperature tag,spectral_bandwidth_hz,200,-0.6418757831626937,-0.597265431635791,0.511804261360531,0.4120045210107216,decreasing
metal,simulation,K,solver case/field temperature tag,spectral_bandwidth_fraction,200,-0.6121281948655745,-0.5579704492612316,0.510886700937684,0.37470092694938684,decreasing
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,peak_time_s,375,0.04004452311539266,-0.0041008716674811275,0.005396362245020257,0.0016035638315390344,weak_or_flat
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,peak_time_fraction,375,0.02804255627116414,0.01105931347747362,0.012764722939896334,0.000786384962221387,weak_or_flat
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,peak_abs,375,0.16125865027597924,0.16489180306612433,0.07257306335403278,0.026004352288830024,increasing
metal_10times_dlm,experiment,unknown,numeric filename; physical meaning and unit unconfirmed,rms,375,-0.608681082496595,-0.6180193066242018,0.37395353030076517,0.37049266018922655,decreasing
