dataset,domain,feature,sample_count,mean,std,q10,median,q90,min,max
metal,simulation,mean,200,-0.7735008103423493,7.6555735413533,-11.477097026619866,-0.11843369862610183,9.084219890588773,-15.311626800917923,12.138664162347402
metal,simulation,std,200,11049.300164098362,77.9289047798645,10930.53185217993,11063.616554939821,11141.559581499532,10894.673192475313,11145.621201107902
metal,simulation,rms,200,11049.302852489935,77.92759852428105,10930.532066671458,11063.619837781409,11141.56005255787,10894.67995482235,11145.62288472336
metal,simulation,peak_abs,200,46933.513145317156,674.2208936223354,46047.37990987562,46887.56244229365,47901.97121271987,45874.77716121931,48154.4366203363
metal,simulation,peak_to_peak,200,92109.79913332281,1292.4151406797243,90408.70709194613,92024.7194678107,93963.01986300803,90075.58245394207,94439.72590429548
metal,simulation,energy_mean_square,200,122093166.23665398,1719589.9213927344,119476531.53157738,122403684.4525725,124134360.41911106,118694051.3180079,124224909.48846908
metal,simulation,crest_factor,200,4.247436829457587,0.03250373038186086,4.212729957490097,4.237994701678143,4.299395322636901,4.210750325062427,4.3204796284951215
metal,simulation,skewness,200,0.006464815939295242,0.0020198297975287365,0.0037164467654722706,0.006457696119221605,0.009043898082392917,0.002904713240758,0.010079396497100757
metal,simulation,kurtosis,200,6.6148552451326665,0.08796557422393503,6.51218019857311,6.597499969122319,6.750243069080969,6.4986804381177,6.7984084059310534
metal,simulation,zero_crossing_rate,200,0.003909240991055015,3.639169419306351e-05,0.0038625108852106925,0.003911292452926969,0.0039618969094074846,0.0038300274149330755,0.003972352427107333
metal,simulation,peak_time_s,200,5.332914413628714e-06,9.830196200233147e-08,5.214451967874619e-06,5.315440104945569e-06,5.4825225242245954e-06,5.1988322550102575e-06,5.53733170134639e-06
metal,simulation,peak_time_fraction,200,0.2666162981571308,0.004915011362936692,0.2606933356103096,0.26574254716396867,0.2740966078638257,0.2599124156704935,0.2768370802562324
metal,simulation,dominant_frequency_hz,200,2418449.616140115,89904.64630400261,2299999.999999932,2399999.999999441,2549999.999999947,2249908.2681015627,2649999.9999996754
metal,simulation,dominant_frequency_fraction,200,0.003880962373042095,0.00014174671172576285,0.003735221523740942,0.0038344783756444458,0.004127616189989986,0.0036686776455242135,0.004206349206349207
metal,simulation,spectral_centroid_hz,200,2454191.3456890234,5185.116443115321,2446882.6493236627,2454261.227644912,2461538.861464288,2445235.620365931,2462147.0842331965
