sample_id,domain,dataset,material,physical_group,temperature_value,temperature_unit,temperature_semantics,channel,amplitude_unit,sample_count,dt_s,sampling_rate_hz,time_start_s,time_end_s,duration_s,mean,std,rms,peak_abs,peak_to_peak,energy_mean_square,crest_factor,skewness,kurtosis,zero_crossing_rate,peak_time_s,peak_time_fraction,dominant_frequency_hz,dominant_frequency_fraction,spectral_centroid_hz,spectral_centroid_fraction,spectral_bandwidth_hz,spectral_bandwidth_fraction,acquisition_batch,acquisition_date
metal/case_000_T0300p000K,simulation,metal,metal,metal/case_000_T0300p000K,300.0,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25348,7.890168849614148e-10,1267399999.999877,7.890168849613382e-10,2e-05,1.9999210983115042e-05,12.138664162347402,10894.673192475313,10894.67995482235,45874.77716121931,90075.58245394207,118694051.3180079,4.210750325062427,0.002904713240758,6.4986804381177,0.0039057876671795477,5.1988322550102575e-06,0.2599124156704935,2449999.999999762,0.003866182736310557,2461378.3615564047,0.0038841381750933305,339426.92713966576,0.0005356271534475283,,
metal/case_001_T0306p030K,simulation,metal,metal,metal/case_001_T0306p030K,306.03,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25344,7.891414141410398e-10,1267200000.0006013,7.891414141414142e-10,2e-05,1.999921085858586e-05,11.717746798042363,10896.561148097691,10896.567448505153,45882.888829439435,90091.21772978714,118735182.15982212,4.210765366825117,0.003016495652273223,6.499100294220679,0.003906404135264175,5.1988636363636364e-06,0.2599139801917689,2450000.0000011623,0.003866792929292929,2461433.5360331456,0.003884838282878753,350757.5904464193,0.0005535946818911819,,
metal/case_002_T0312p060K,simulation,metal,metal,metal/case_002_T0312p060K,312.06,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25339,7.892971309049054e-10,1266950000.0000381,7.892971309049293e-10,2e-05,1.9999210702869096e-05,11.259251551792028,10898.440754667248,10898.446570669486,45891.98215850283,90108.6387378402,118776137.6537375,4.210873711305786,0.003138146050694202,6.499546229894707,0.003907174994080038,5.199889498401674e-06,0.25996526955560817,2449903.314917201,0.0038674033149171277,2461468.209722437,0.003885659591495107,359663.70397545793,0.0005677630592769203,,
metal/case_003_T0318p090K,simulation,metal,metal,metal/case_003_T0318p090K,318.09,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25335,7.894217485691654e-10,1266750000.0000124,7.894217485691732e-10,2e-05,1.9999210578251433e-05,10.763483352037147,10900.311615767008,10900.31692995204,45900.41143175505,90124.9182961212,118816909.17339905,4.2109244829046455,0.003269510826192114,6.5000193869577085,0.003907791900213152,5.200710479573713e-06,0.2600063156232731,2449903.299652692,0.003868013893274392,2461532.138512581,0.0038863740098875974,371344.3938515638,0.0005862946814313167,,
metal/case_004_T0324p121K,simulation,metal,metal,metal/case_004_T0324p121K,324.121,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25331,7.895464055899113e-10,1266550000.000124,7.895464055899886e-10,2e-05,1.999921045359441e-05,10.230903622531747,10902.173174795349,10902.177975277062,45908.83329059407,90141.20154310131,118857484.60461625,4.210978154521218,0.003410395590996865,6.500520816232078,0.003908409001184367,5.201531720026845e-06,0.26004737465455985,2449903.284383628,0.0038686246644560234,2461599.3680296508,0.003887093866060416,383029.86615304474,0.0006048397081094425,,
metal/case_005_T0330p151K,simulation,metal,metal,metal/case_005_T0330p151K,330.151,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25327,7.896711019865455e-10,1266349999.9991617,7.896711019860229e-10,2e-05,1.9999210328898015e-05,9.66213422983308,10904.025033623282,10904.029314465413,45917.2636359381,90157.51167619256,118897855.29072107,4.211036334524864,0.0035605656736378568,6.501051344559399,0.0039090262970859985,5.202353219883919e-06,0.26008844665561087,2449903.2691076645,0.00386923562855338,2461668.606166405,0.0038878171219142174,394595.83172571973,0.0006232018505562932,,
metal/case_006_T0336p181K,simulation,metal,metal,metal/case_006_T0336p181K,336.181,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25323,7.89795837776141e-10,1266149999.9996696,7.89795837775935e-10,2e-05,1.9999210204162225e-05,9.057964081293834,10905.866884909623,10905.870646495016,45925.7161831113,90173.86757665145,118938014.55808161,4.2111003946183,0.00371974661846203,6.501611580790627,0.003909643788010426,5.203174979267859e-06,0.26012953163257246,2449903.2538297195,0.0038698467856578744,2461738.4724372104,0.0038885415984486085,405924.14685649367,0.0006411944032801794,,
metal/case_007_T0342p211K,simulation,metal,metal,metal/case_007_T0342p211K,342.211,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25318,7.899518129395833e-10,1265899999.9997234,7.899518129394108e-10,2e-05,1.999921004818706e-05,8.419356266879186,10907.698444981534,10907.701694317298,45933.610510468745,90189.653023507,118977956.25221248,4.211117226867257,0.0038876245781249465,6.5022019202039205,0.0039104159260575895,5.204202543644838e-06,0.26018090611051864,2449999.999999465,0.0038707638834031125,2461834.2975283037,0.003889460932978658,419259.92922653054,0.0006623902823708383,,
metal/case_008_T0348p241K,simulation,metal,metal,metal/case_008_T0348p241K,348.241,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25314,7.900766374338572e-10,1265699999.9999583,7.900766374338311e-10,2e-05,1.9999209923362567e-05,7.747447995972824,10909.519772861328,10909.52252380473,45942.080028172284,90206.0904591567,119017681.69740273,4.211190721493633,0.004063847965321522,6.502822420990547,0.003911033856121361,5.205024887414079e-06,0.26022202030577174,2449999.9999999185,0.0038713755234257713,2461900.266618663,0.0038901797686951792,429658.08288435877,0.0006789256267431033,,
metal/case_009_T0354p271K,simulation,metal,metal,metal/case_009_T0354p271K,354.271,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25310,7.902015013829257e-10,1265499999.999883,7.902015013828527e-10,2e-05,1.9999209798498618e-05,7.043562752352542,10911.330809314853,10911.333082720908,45950.65698534142,90222.67912915049,119057189.64207977,4.211278002145171,0.0042480270066105885,6.503472947618316,0.0039116519815085545,5.2050572896088506e-06,0.26022363586076097,2449999.9999997737,0.0038719873567759785,2461962.021049788,0.00389089217076257,439481.7856842262,0.0006945583337562495,,
